# Import conversations to test your agent.,,
#,,
# Limitations,,
# - 8 question-and-answer pairs max per conversation.,,
# - 50 conversations max.,,
"# - 500 characters max per question, including spaces.",,
#,,
# Imported columns,,
# conversationNumber - Identifies each conversation. All questions and responses with the same conversation number will run as a single test case against the agent.,,
# question - The user prompt that the agent will respond to.,,
# response - The reference agent reply. This field is optional. The agent response isn't compared to this reference answer.,,
#,,
# Test methods,,
# - Test methods are not included in this template. You can select them after importing the test cases.,,
"# - By default, the 'General quality' test method is added to the imported test set.",,
#,,
"# For more details, refer to the documentation: https://go.microsoft.com/fwlink/?linkid=2335991",,
#,,
conversationNumber,question,response
1,I'm allergic to gluten. Do you have any pizza recommendations for me?,Unfortunately we're not offering any gluten-free pizzas.
1,Which pizza would you recommend for someone who loves meat?,Diavola
1,What's the most popular pizza type right now?,Margherita and Diavola
1,What kind of pizzas do you recommend for vegetarians?,
1,Can you suggest a pizza for someone who doesn't like spicy food?,Margherita usually fits very well to people who don't like spicy food
2,What are the top attractions to see in Rome,"The Colosseum, Roman Forum, Pantheon, Trevi Fountain, and Vatican City."
2,What is the best area to explore for history in Rome?,The Roman Forum and Palatine Hill are great for history lovers.
2,Where should I go for art in Rome?,Visit the Vatican Museums and the Sistine Chapel.
3,Should I book dinner in advance in Rome?,"Booking is recommended for popular spots, especially on weekends"
3,Do I need to tip in Rome restaurants?,Service is usually included; a small tip is optional.
3,Is tap water safe to drink in Rome?,Tap water is generally safe; you can also ask for bottled water.
3,Do restaurants charge for bread or table service?,Some places add a small service or bread charge; check the menu.
